day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
94, 5.5757928,4.9263558,5.2621570,5.0392184,5.1272430,4.4732485,4.6511474,4.6710267,5.1071916,4.3599591,4.6457615,4.5816956,5.3995881,4.9724770,4.9083748,5.2542338
95, 5.5554647,4.9056215,5.2418737,5.0187182,5.1054711,4.4495735,4.6264992,4.6489468,5.0846543,4.3339872,4.6204805,4.5585570,5.3795824,4.9512634,4.8852539,5.2335205
96, 5.5355644,4.8834400,5.2193975,4.9968390,5.0836759,4.4251132,4.6014304,4.6269679,5.0627871,4.3097062,4.5943561,4.5354276,5.3592253,4.9289255,4.8612657,5.2133904
97, 5.5166712,4.8634896,5.1959844,4.9767590,5.0638127,4.4011903,4.5770507,4.6058383,5.0424833,4.2852654,4.5665617,4.5125370,5.3391542,4.9080939,4.8382530,5.1935725
98, 5.4965701,4.8415246,5.1742959,4.9554124,5.0425072,4.3788033,4.5514426,4.5810742,5.0208068,4.2593908,4.5427742,4.4889503,5.3197985,4.8848963,4.8142281,5.1732788
99, 5.4771242,4.8204808,5.1514182,4.9328775,5.0225091,4.3535666,4.5270324,4.5599070,4.9988265,4.2368188,4.5165586,4.4660740,5.2993197,4.8651347,4.7896104,5.1534462
100, 5.4570694,4.7993650,5.1284471,4.9115925,5.0021133,4.3280368,4.5031481,4.5379248,4.9765515,4.2117667,4.4924850,4.4451661,5.2793646,4.8414135,4.7644944,5.1332598
101, 5.4371061,4.7779045,5.1056204,4.8903952,4.9814463,4.3030105,4.4784322,4.5149479,4.9551759,4.1883821,4.4673166,4.4216704,5.2586370,4.8191895,4.7415247,5.1121430
102, 5.4166961,4.7582459,5.0824904,4.8700519,4.9587183,4.2787113,4.4534068,4.4933524,4.9335871,4.1644888,4.4433866,4.4000735,5.2375093,4.7997084,4.7196283,5.0910921
103, 5.3971152,4.7380066,5.0601125,4.8505211,4.9375329,4.2568769,4.4314356,4.4706826,4.9126353,4.1404347,4.4186797,4.3766408,5.2172012,4.7790151,4.6960564,5.0709262
104, 5.3773971,4.7169957,5.0366893,4.8306031,4.9155822,4.2336335,4.4068494,4.4483051,4.8922815,4.1167073,4.3933306,4.3548956,5.1960173,4.7573776,4.6727290,5.0509067
105, 5.3583879,4.6961679,5.0136986,4.8123507,4.8940730,4.2115455,4.3825212,4.4271231,4.8705974,4.0932126,4.3690791,4.3335438,5.1751118,4.7350774,4.6490169,5.0308046
106, 5.3391886,4.6775055,4.9900308,4.7920704,4.8734121,4.1867986,4.3569808,4.4038982,4.8488212,4.0696859,4.3433175,4.3124995,5.1552525,4.7134576,4.6239672,5.0110373
107, 5.3212886,4.6546574,4.9675503,4.7721548,4.8508348,4.1653547,4.3339887,4.3811111,4.8286271,4.0452132,4.3195167,4.2907567,5.1358461,4.6920681,4.6006732,4.9915857
108, 5.3007598,4.6338110,4.9442768,4.7538671,4.8302908,4.1423802,4.3095698,4.3584642,4.8082986,4.0219021,4.2956343,4.2678704,5.1156616,4.6711960,4.5784307,4.9731460
109, 5.2818365,4.6140780,4.9218788,4.7347045,4.8095589,4.1191292,4.2862163,4.3366036,4.7864947,3.9981773,4.2719984,4.2447543,5.0959373,4.6498847,4.5572610,4.9547129
110, 5.2629962,4.5944562,4.8978629,4.7170057,4.7888403,4.0978117,4.2621531,4.3151007,4.7671695,3.9765429,4.2490044,4.2237668,5.0760422,4.6298151,4.5336566,4.9365058
111, 5.2444024,4.5750589,4.8762965,4.6984634,4.7688355,4.0762358,4.2395191,4.2954526,4.7476745,3.9535749,4.2259212,4.2022653,5.0558462,4.6108255,4.5114217,4.9176106
112, 5.2258782,4.5540767,4.8541288,4.6810961,4.7488060,4.0542746,4.2157874,4.2743201,4.7282538,3.9305274,4.2035580,4.1834068,5.0369382,4.5904622,4.4884920,4.8984714
113, 5.2064319,4.5361385,4.8329797,4.6632423,4.7283502,4.0330000,4.1935396,4.2547441,4.7082767,3.9072273,4.1791677,4.1615295,5.0180311,4.5712271,4.4670849,4.8795180
114, 5.1898680,4.5166330,4.8121605,4.6442323,4.7097225,4.0121417,4.1714573,4.2353473,4.6901908,3.8854196,4.1557803,4.1399837,5.0001068,4.5518522,4.4452410,4.8618717
115, 5.1719732,4.4982448,4.7903314,4.6263657,4.6907420,3.9910653,4.1480122,4.2162409,4.6708655,3.8650124,4.1346369,4.1203113,4.9818983,4.5331559,4.4237070,4.8440084
116, 5.1557918,4.4798517,4.7706494,4.6089044,4.6712689,3.9703026,4.1255727,4.1963501,4.6533885,3.8435159,4.1133294,4.1014266,4.9651456,4.5144916,4.4017320,4.8268461
117, 5.1385031,4.4626355,4.7502995,4.5924530,4.6522589,3.9504721,4.1036839,4.1759229,4.6355424,3.8232989,4.0917277,4.0815949,4.9472876,4.4954152,4.3816671,4.8098602
118, 5.1217208,4.4437799,4.7303524,4.5739369,4.6333280,3.9289169,4.0828681,4.1571407,4.6183915,3.8024080,4.0683026,4.0621800,4.9291945,4.4764357,4.3592882,4.7917819
119, 5.1053133,4.4253836,4.7115946,4.5580258,4.6152911,3.9105763,4.0617208,4.1390948,4.5997219,3.7827017,4.0476112,4.0426350,4.9121351,4.4587603,4.3389621,4.7752342
120, 5.0887012,4.4075918,4.6919589,4.5417752,4.5965214,3.8914852,4.0400128,4.1216927,4.5829873,3.7638586,4.0267501,4.0230184,4.8956428,4.4406390,4.3187299,4.7581949
121, 5.0736299,4.3912883,4.6737924,4.5259037,4.5789056,3.8734870,4.0206647,4.1037369,4.5663433,3.7443197,4.0058246,4.0052629,4.8788543,4.4235363,4.2987604,4.7412839
122, 5.0571117,4.3744969,4.6550612,4.5099106,4.5603509,3.8547261,4.0014367,4.0863824,4.5490165,3.7262852,3.9852340,3.9860423,4.8629827,4.4069262,4.2795100,4.7253056
123, 5.0409861,4.3582768,4.6366329,4.4937243,4.5426354,3.8367040,3.9829185,4.0687742,4.5343657,3.7070444,3.9656157,3.9690957,4.8468146,4.3902435,4.2585554,4.7095661
124, 5.0261102,4.3420897,4.6191459,4.4768305,4.5263128,3.8189318,3.9632187,4.0510120,4.5175457,3.6882257,3.9445500,3.9528215,4.8314233,4.3729501,4.2403293,4.6930780
